_id;descripcion;medida;importe;espece;createdAt;updatedAt
50;TRANSCRIPCION PALEOGRAFICA AUTENTICADA DE DOCUMENTOS;UNIDAD;20;1.3. 210. 1 5;01/08/2025 22:44;01/08/2025 22:44
51;EXPEDICION COPIA CERTIFICADA DE INMIGRANTE;UNIDAD;15;1.3. 210. 1 5;02/08/2025 22:44;02/08/2025 22:44
57;FOTOGRAFIA DE DOCUMENTO EN CUSTODIA;UNIDAD;10;1.3. 210. 1 5;03/08/2025 22:44;03/08/2025 22:44
58;ACCESO A LA INFORMACION QUE PRODUCE EL ARCHIVO REGIONAL/COPIA SIMPLE;UNIDAD;0.2;1.3. 210. 1 5;04/08/2025 22:44;04/08/2025 22:44
59;EXPEDICION COPIA CERTIFICADA EMPRESAS PRIVADAS;UNIDAD;15;1.3. 210. 1 5;05/08/2025 22:44;05/08/2025 22:44
60;EXPEDICION CONSTANCIA NOTARIAL IRREGULAR;UNIDAD;14;1.3. 210. 1 5;06/08/2025 22:44;06/08/2025 22:44
61;ELIMINACION -  VENTA DE DESUSO ADMINISTRACION PUBLICA;KILOS;0.5;1.3. 210. 1 5;07/08/2025 22:44;07/08/2025 22:44
62;EXPEDICION DE CARNET DE INVESTIGADOR;UNIDAD;5;1.3. 210. 1 5;08/08/2025 22:44;08/08/2025 22:44
63;SERVICIO DE ASESORAMIENTO RECNICO ARCHIVÖSTICO;HORA;50;1.3. 210. 1 5;09/08/2025 22:44;09/08/2025 22:44
64;EXHIBICION DE DOCUMENTOS: PLANILLAS;FOJA;10;1.3. 210. 1 5;10/08/2025 22:44;10/08/2025 22:44
65;CAPACITACION ARCHIVISTICA;HORA;90;1.3. 210. 1 5;11/08/2025 22:44;11/08/2025 22:44
66;CAPACITACION ARCHIVISTICA;HORA;50;1.3. 210. 1 5;12/08/2025 22:44;12/08/2025 22:44
67;CAPACITACIÓN ARCHIVISTICA;HORA;10;1.3. 210. 1 5;13/08/2025 22:44;13/08/2025 22:44
