_id;ingresoId;tupaId;cantidad;importe;igv;detalle;createdAt;updatedAt;__v
2087;39757;0001;1;15;0;;;;
2088;39757;0014;1;10;0;;;;
2089;39758;0001;1;15;0;;;;
2090;39758;0014;1;10;0;;;;
2091;39759;0001;1;15;0;;;;
2092;39759;0014;1;10;0;;;;
2093;39760;0001;1;15;0;;;;
2094;39760;0014;1;10;0;;;;
2095;39761;0003;4;15;0;;;;
2096;39762;0001;1;15;0;;;;
2097;39762;0014;1;10;0;;;;
2098;39763;0001;1;15;0;;;;
2099;39763;0014;1;10;0;;;;
2100;39765;0003;3;15;0;;;;
2101;39765;0035;1;9;0;;;;
2102;39766;0001;1;15;0;;;;
2103;39766;0014;1;10;0;;;;
2104;39767;0001;1;15;0;;;;
2105;39767;0014;1;10;0;;;;
2106;39768;0001;1;15;0;;;;
2107;39768;0019;1;10;0;;;;
2108;39769;0001;1;15;0;;;;
2109;39769;0019;1;10;0;;;;
2110;39770;0003;4;15;0;;;;
2111;39770;0035;1;9;0;;;;
2112;39771;0003;3;15;0;;;;
2113;39771;0035;1;9;0;;;;
2114;39772;0001;1;15;0;;;;
2115;39772;0014;1;10;0;;;;
2116;39774;0003;3;15;0;;;;
2117;39774;0035;1;9;0;;;;
2118;39775;0001;1;15;0;;;;
2119;39775;0014;1;10;0;;;;
2120;39776;0001;1;15;0;;;;
2121;39776;0014;1;10;0;;;;
2122;39777;0003;2;15;0;;;;
2123;39777;0035;1;9;0;;;;
2124;39778;0001;1;15;0;;;;
2125;39778;0014;1;10;0;;;;
2126;39779;0003;5;15;0;;;;
2127;39780;0001;1;15;0;;;;
2128;39780;0014;1;10;0;;;;
2129;39781;0001;1;15;0;;;;
2130;39781;0014;1;10;0;;;;
2131;39783;0001;1;15;0;;;;
2132;39783;0014;1;10;0;;;;
2133;39785;0009;4;0.2;0;;;;
2134;39786;0001;1;15;0;;;;
2135;39786;0014;1;10;0;;;;
2136;39787;0003;5;15;0;;;;
2137;39787;0035;1;9;0;;;;
2138;39788;0003;3;15;0;;;;
2139;39788;0035;1;9;0;;;;
2140;39789;0003;3;15;0;;;;
2141;39789;0035;1;9;0;;;;
2142;39790;0001;1;15;0;;;;
2143;39790;0014;1;10;0;;;;
2144;39791;0001;2;15;0;;;;
2145;39791;0035;1;9;0;;;;
2146;39792;0001;1;15;0;;;;
2147;39792;0014;1;10;0;;;;
2148;39793;0013;3;15;0;;;;
2149;39794;0013;1;15;0;;;;
2150;39795;0013;2;15;0;;;;
2151;39796;0001;1;15;0;;;;
2152;39796;0014;1;10;0;;;;
2153;39797;0003;3;15;0;;;;
2154;39797;0035;1;9;0;;;;
2155;39798;0001;1;15;0;;;;
2156;39798;0014;1;10;0;;;;
2157;39799;0003;2;15;0;;;;
2158;39799;0035;1;9;0;;;;
2159;39800;0003;5;15;0;;;;
2160;39800;0035;1;9;0;;;;
2161;39801;0001;1;15;0;;;;
2162;39801;0014;1;10;0;;;;
2163;39802;0009;3;0.2;0;;;;
2164;39803;0003;3;15;0;;;;
2165;39803;0035;1;9;0;;;;
2166;39804;0003;2;15;0;;;;
2167;39805;0001;1;15;0;;;;
2168;39805;0014;1;10;0;;;;
2169;39806;0001;1;15;0;;;;
2170;39806;0014;1;10;0;;;;
2171;39807;0003;3;15;0;;;;
2172;39808;0001;1;15;0;;;;
2173;39808;0014;1;10;0;;;;
2174;39809;0003;2;15;0;;;;
2175;39809;0035;1;9;0;;;;
2176;39810;0001;1;15;0;;;;
2177;39810;0014;1;10;0;;;;
2178;39811;0001;1;15;0;;;;
2179;39811;0008;1;10;0;SOLICITANTE :BARAHONA  VALERO FABIANO VERILO;;;
2180;39812;0001;1;15;0;;;;
2181;39812;0014;1;10;0;;;;
2182;39813;0001;1;15;0;;;;
2183;39813;0014;1;10;0;;;;
2184;39814;0001;1;15;0;;;;
2185;39814;0014;1;10;0;;;;
2186;39815;0001;1;15;0;;;;
2187;39815;0014;1;10;0;;;;
2188;39816;0001;1;15;0;;;;
2189;39816;0014;1;10;0;;;;
2190;39818;0003;3;15;0;;;;
2191;39818;0035;1;9;0;;;;
2192;39819;0001;1;15;0;;;;
2193;39819;0014;1;10;0;;;;
2194;39821;0003;2;15;0;;;;
2195;39821;0035;1;9;0;;;;
2196;39822;0001;1;15;0;;;;
2197;39822;0014;1;10;0;;;;
2198;39824;0003;3;15;0;;;;
2199;39824;0035;1;9;0;;;;
2200;39825;0001;1;15;0;;;;
2201;39825;0014;1;10;0;;;;
2202;39826;0003;2;15;0;;;;
2203;39826;0035;1;9;0;;;;
2204;39827;0003;3;15;0;;;;
2205;39828;0003;2;15;0;;;;
2206;39828;0035;1;9;0;;;;
2207;39829;0001;1;15;0;;;;
2208;39829;0014;1;10;0;;;;
2209;39830;0001;1;15;0;;;;
2210;39830;0014;1;10;0;;;;
2211;39831;0001;1;15;0;;;;
2212;39831;0014;1;10;0;;;;
2213;39832;0003;3;15;0;;;;
2214;39832;0035;1;9;0;;;;
2215;39833;0003;2;15;0;;;;
2216;39833;0035;1;9;0;;;;
2217;39834;0003;3;15;0;;;;
2218;39834;0035;1;9;0;;;;
2219;39835;0001;1;15;0;;;;
2220;39835;0014;1;10;0;;;;
2221;39836;0043;23;15;0;;;;
2222;39836;0009;1;0.2;0;;;;
2223;39837;0001;1;15;0;;;;
2224;39837;0014;1;10;0;;;;
2225;39838;0001;1;15;0;;;;
2226;39838;0014;1;10;0;;;;
2227;39839;0001;1;15;0;;;;
2228;39839;0014;1;10;0;;;;
2229;39840;0001;1;15;0;;;;
2230;39840;0014;1;10;0;;;;
2231;39841;0001;1;15;0;;;;
2232;39841;0014;1;10;0;;;;
2233;39842;0001;1;15;0;;;;
2234;39842;0014;1;10;0;;;;
2235;39843;0001;1;15;0;;;;
2236;39843;0014;1;10;0;;;;
2237;39844;0003;2;15;0;;;;
2238;39844;0035;1;9;0;;;;
2239;39846;0003;3;15;0;;;;
2240;39846;0035;1;9;0;;;;
2241;39847;0001;1;15;0;;;;
2242;39847;0014;1;10;0;;;;
2243;39848;0003;15;15;0;;;;
2244;39848;0035;1;9;0;;;;
2245;39849;0023;1;10;0;NOTARIO  GUILLERMO  HERRERA  ALLENDE AÑO-1930;;;
2246;39850;0003;3;15;0;;;;
2247;39850;0035;1;9;0;;;;
2248;39851;0044;1;15;0;;;;
2249;39852;0001;1;15;0;;;;
2250;39852;0014;1;10;0;;;;
2251;39853;0001;1;15;0;;;;
2252;39853;0014;1;10;0;;;;
2253;39854;0001;1;15;0;;;;
2254;39854;0014;1;10;0;;;;
2255;39855;0023;1;10;0;NOTARIO  BERAMENDI AÑO 2009;;;
2256;39856;0023;1;10;0;NOTARIO-1945 NOTARIO SANTIAGO  PEÑA QUINTANA;;;
2257;39857;0001;1;15;0;;;;
2258;39857;0014;1;10;0;;;;
2259;39858;0001;1;15;0;;;;
2260;39858;0014;1;10;0;;;;
2261;39859;0003;3;15;0;;;;
2262;39859;0035;1;9;0;;;;
2263;39860;0003;3;15;0;;;;
2264;39860;0035;1;9;0;;;;
2265;39861;0003;2;15;0;;;;
2266;39861;0035;1;9;0;;;;
2267;39862;0001;1;15;0;;;;
2268;39862;0014;1;10;0;;;;
2269;39863;0001;1;15;0;;;;
2270;39863;0014;1;10;0;;;;
2271;39864;0001;1;15;0;;;;
2272;39864;0014;1;10;0;S;;;
2273;39865;0001;1;15;0;;;;
2274;39865;0014;1;10;0;;;;
2275;39866;0001;1;15;0;;;;
2276;39866;0014;1;10;0;;;;
2277;39867;0001;1;15;0;;;;
2278;39867;0014;1;10;0;;;;
2279;39868;0001;1;15;0;;;;
2280;39868;0014;1;10;0;;;;
2281;39869;0001;1;15;0;;;;
2282;39869;0014;1;10;0;;;;
2283;39870;0001;1;15;0;;;;
2284;39870;0014;1;10;0;;;;
2285;39871;0001;1;15;0;;;;
2286;39871;0014;1;10;0;;;;
2287;39872;0003;3;15;0;;;;
2288;39872;0035;1;9;0;;;;
2289;39873;0001;1;15;0;;;;
2290;39873;0014;1;10;0;;;;
2291;39874;0001;1;15;0;;;;
2292;39874;0014;1;10;0;;;;
2293;39875;0001;1;15;0;;;;
2294;39875;0014;1;10;0;;;;
2295;39876;0003;3;15;0;;;;
2296;39876;0035;1;9;0;;;;
2297;39878;0013;2;15;0;;;;
2298;39879;0013;3;15;0;;;;
2299;39880;0001;1;15;0;;;;
2300;39880;0014;1;10;0;;;;
2301;39881;0001;1;15;0;;;;
2302;39881;0014;1;10;0;;;;
2303;39882;0001;1;15;0;;;;
2304;39882;0014;1;10;0;;;;
2305;39883;0013;2;15;0;;;;
2306;39884;0001;1;15;0;;;;
2307;39884;0014;1;10;0;;;;
2308;39885;0001;1;15;0;;;;
2309;39885;0014;1;10;0;;;;
2310;39886;0001;1;15;0;;;;
2311;39886;0014;1;10;0;;;;
2312;39887;0009;4;0.2;0;;;;
2313;39888;0001;1;15;0;;;;
2314;39888;0018;1;10;0;;;;
2315;39889;0023;1;10;0;NOTARIAO ROLANDO ROJAS ARROYO-AÑO 1967;;;
2316;39890;0001;1;15;0;;;;
2317;39890;0014;1;10;0;;;;
2318;39891;0001;1;15;0;;;;
2319;39891;0014;1;10;0;;;;
2320;39892;0001;1;15;0;;;;
2321;39892;0014;1;10;0;;;;
2322;39893;0001;1;15;0;;;;
2323;39893;0014;1;10;0;;;;
2324;39894;0001;1;15;0;;;;
2325;39894;0014;1;10;0;;;;
2326;39895;0001;1;15;0;;;;
2327;39895;0014;1;10;0;;;;
2328;39896;0013;4;15;0;;;;
2329;39897;0001;1;15;0;;;;
2330;39897;0014;1;10;0;;;;
2331;39898;0001;1;15;0;;;;
2332;39898;0014;1;10;0;;;;
2333;39899;0001;1;15;0;;;;
2334;39899;0014;1;10;0;;;;
